Condition,Concentration,V-450-A: Median+
0,30,5709
0.5,30,5317
1,30,5575
1.5,30,4693
2,30,4726
3,30,4573
4,30,4173
5,30,4203
0,60,9302
0.5,60,8468
1,60,7529
1.5,60,7263
2,60,6990
3,60,6632
4,60,5888
5,60,5888
0,125,14964
0.5,125,12378
1,125,12139
1.5,125,11762
2,125,10780
3,125,9553
4,125,9235
5,125,8367
0,250,21594
0.5,250,18688
1,250,16906
1.5,250,15944
2,250,14218
3,250,12868
4,250,12713
5,250,12288
0,500,28360
0.5,500,24472
1,500,22239
1.5,500,20460
2,500,19011
3,500,16539
4,500,15983
5,500,15751
0,1000,36818
0.5,1000,29210
1,1000,25266
1.5,1000,23300
2,1000,21860
3,1000,19771
4,1000,17971
5,1000,17796
0,2000,40536
0.5,2000,32311
1,2000,27739
1.5,2000,25831
2,2000,23129
3,2000,21174
4,2000,20611
5,2000,18688
