Time,Concentrations,value,Labels,Dataset,id
0,15 ng/test,100,15 ng/test,Mass Size,1
0.5,15 ng/test,100,15 ng/test,Mass Size,2
1,15 ng/test,95,15 ng/test,Mass Size,3
1.5,15 ng/test,95,15 ng/test,Mass Size,4
2,15 ng/test,74,15 ng/test,Mass Size,5
3,15 ng/test,76,15 ng/test,Mass Size,6
4,15 ng/test,80,15 ng/test,Mass Size,7
5,15 ng/test,71,15 ng/test,Mass Size,8
0,30 ng/test,100,30 ng/test,Mass Size,9
0.5,30 ng/test,100,30 ng/test,Mass Size,10
1,30 ng/test,97,30 ng/test,Mass Size,11
1.5,30 ng/test,98,30 ng/test,Mass Size,12
2,30 ng/test,59,30 ng/test,Mass Size,13
3,30 ng/test,60,30 ng/test,Mass Size,14
4,30 ng/test,65,30 ng/test,Mass Size,15
5,30 ng/test,64,30 ng/test,Mass Size,16
0,60 ng/test,100,60 ng/test,Mass Size,17
0.5,60 ng/test,102,60 ng/test,Mass Size,18
1,60 ng/test,82,60 ng/test,Mass Size,19
1.5,60 ng/test,79,60 ng/test,Mass Size,20
2,60 ng/test,76,60 ng/test,Mass Size,21
3,60 ng/test,79,60 ng/test,Mass Size,22
4,60 ng/test,76,60 ng/test,Mass Size,23
5,60 ng/test,66,60 ng/test,Mass Size,24
0,125 ng/test,100,125 ng/test,Mass Size,25
0.5,125 ng/test,106,125 ng/test,Mass Size,26
1,125 ng/test,98,125 ng/test,Mass Size,27
1.5,125 ng/test,102,125 ng/test,Mass Size,28
2,125 ng/test,76,125 ng/test,Mass Size,29
3,125 ng/test,98,125 ng/test,Mass Size,30
4,125 ng/test,85,125 ng/test,Mass Size,31
5,125 ng/test,70,125 ng/test,Mass Size,32
0,250 ng/test,100,250 ng/test,Mass Size,33
0.5,250 ng/test,100,250 ng/test,Mass Size,34
1,250 ng/test,82,250 ng/test,Mass Size,35
1.5,250 ng/test,82,250 ng/test,Mass Size,36
2,250 ng/test,50,250 ng/test,Mass Size,37
3,250 ng/test,52,250 ng/test,Mass Size,38
4,250 ng/test,75,250 ng/test,Mass Size,39
5,250 ng/test,51,250 ng/test,Mass Size,40
0,500 ng/test,100,500 ng/test,Mass Size,41
0.5,500 ng/test,96,500 ng/test,Mass Size,42
1,500 ng/test,65,500 ng/test,Mass Size,43
1.5,500 ng/test,96,500 ng/test,Mass Size,44
2,500 ng/test,70,500 ng/test,Mass Size,45
3,500 ng/test,70,500 ng/test,Mass Size,46
4,500 ng/test,94,500 ng/test,Mass Size,47
5,500 ng/test,93,500 ng/test,Mass Size,48
0,1000 ng/test,100,1000 ng/test,Mass Size,49
0.5,1000 ng/test,99,1000 ng/test,Mass Size,50
1,1000 ng/test,99,1000 ng/test,Mass Size,51
1.5,1000 ng/test,83,1000 ng/test,Mass Size,52
2,1000 ng/test,59,1000 ng/test,Mass Size,53
3,1000 ng/test,66,1000 ng/test,Mass Size,54
4,1000 ng/test,83,1000 ng/test,Mass Size,55
5,1000 ng/test,59,1000 ng/test,Mass Size,56
0,2000 ng/test,100,2000 ng/test,Mass Size,57
0.5,2000 ng/test,56,2000 ng/test,Mass Size,58
1,2000 ng/test,56,2000 ng/test,Mass Size,59
1.5,2000 ng/test,55,2000 ng/test,Mass Size,60
2,2000 ng/test,37,2000 ng/test,Mass Size,61
3,2000 ng/test,55,2000 ng/test,Mass Size,62
4,2000 ng/test,42,2000 ng/test,Mass Size,63
5,2000 ng/test,36,2000 ng/test,Mass Size,64
0,60_set1 ng/test,100,60_set1 ng/test,Test Size,65
0.5,60_set1 ng/test,100,60_set1 ng/test,Test Size,66
