Concentrations Included,Model Order,"75% Threshold, No CI","80% Threshold, No CI","75% Threshold, Lwr 95% CI","80% Threshold, Lwr 95% CI"
Raw,Linear,1,1,1,0
Optimal +1/-2,Linear,1,1,0,0
Raw,2nd Order,0,0,0,0
Optimal +1/-2,2nd Order,0,0,0,0
Raw,Linear,0,0,0,0
Optimal +1/-2,Linear,0,0,0,0
Raw,2nd Order,0,0,0,0
Optimal +1/-2,2nd Order,0,0,0,0
Raw,Linear,0,0,0,0
Optimal +1/-2,Linear,0,0,0,0
Raw,2nd Order,0,0,0,0
Optimal +1/-2,2nd Order,0,0,0,0
Raw,Linear,1,0,0,0
Optimal +1/-2,Linear,0,0,0,0
Raw,2nd Order,0,0,0,0
Optimal +1/-2,2nd Order,0,0,0,0
Raw,Linear,1,1,1,0
Optimal +1/-2,Linear,1,0,0,0
Raw,2nd Order,1,1,1,1
Optimal +1/-2,2nd Order,1,0,1,0
Raw,Linear,0,0,0,0
Optimal +1/-2,Linear,0,0,0,0
Raw,2nd Order,0,0,0,0
Optimal +1/-2,2nd Order,0,0,0,0
Raw,Linear,1,0,0,0
Optimal +1/-2,Linear,1,0,0,0
Raw,2nd Order,1,0,0,0
Optimal +1/-2,2nd Order,0,0,0,0
Raw,Linear,1,0,0,0
Optimal +1/-2,Linear,1,1,0,0
Raw,2nd Order,1,0,0,0
Optimal +1/-2,2nd Order,1,1,0,0
Raw,Linear,1,1,0,0
Optimal +1/-2,Linear,0,0,1,1
Raw,2nd Order,0,0,0,0
Optimal +1/-2,2nd Order,0,0,0,0
Raw,Linear,1,0,0,0
Optimal +1/-2,Linear,0,0,1,1
Raw,2nd Order,0,0,1,1
Optimal +1/-2,2nd Order,0,0,1,1
Raw,Linear,0,0,0,0
Optimal +1/-2,Linear,0,0,0,0
Raw,2nd Order,0,0,0,0
Optimal +1/-2,2nd Order,0,0,0,0
Raw,Linear,0,0,0,0
Optimal +1/-2,Linear,0,0,0,0
Raw,2nd Order,0,0,0,0
Optimal +1/-2,2nd Order,0,0,0,0
Raw,Linear,1,1,1,0
Optimal +1/-2,Linear,1,1,1,0
Raw,2nd Order,1,1,1,1
Optimal +1/-2,2nd Order,1,1,1,1
Raw,Linear,1,1,1,1
Optimal +1/-2,Linear,1,1,1,1
Raw,2nd Order,0,0,0,0
Optimal +1/-2,2nd Order,0,0,0,0
Raw,Linear,0,0,0,0
Optimal +1/-2,Linear,0,0,0,0
Raw,2nd Order,1,1,1,1
Optimal +1/-2,2nd Order,1,1,1,1
Raw,Linear,0,0,0,0
Optimal +1/-2,Linear,0,0,0,0
Raw,2nd Order,1,1,1,1
Optimal +1/-2,2nd Order,1,1,1,1
Raw,Linear,1,1,1,1
Optimal +1/-2,Linear,1,1,1,1
Raw,2nd Order,0,0,0,0
Optimal +1/-2,2nd Order,0,0,0,0
Raw,Linear,0,0,0,0
Optimal +1/-2,Linear,0,0,0,0
Raw,2nd Order,0,0,0,1
Optimal +1/-2,2nd Order,0,0,0,1
Raw,Linear,0,0,0,0
Optimal +1/-2,Linear,0,0,0,0
Raw,2nd Order,0,0,0,0
Optimal +1/-2,2nd Order,0,0,0,0
Raw,Linear,1,1,1,0
Optimal +1/-2,Linear,1,0,1,0
Raw,2nd Order,1,1,1,0
Optimal +1/-2,2nd Order,1,0,0,0
Raw,Linear,1,1,1,1
Optimal +1/-2,Linear,1,1,1,1
Raw,2nd Order,1,1,1,1
Optimal +1/-2,2nd Order,1,1,1,1
Raw,Linear,0,0,0,0
Optimal +1/-2,Linear,0,0,0,0
Raw,2nd Order,1,1,1,1
Optimal +1/-2,2nd Order,1,1,1,1
Raw,Linear,1,1,1,1
Optimal +1/-2,Linear,1,1,1,1
Raw,2nd Order,1,1,1,1
Optimal +1/-2,2nd Order,1,1,1,1
Raw,Linear,1,1,1,1
Optimal +1/-2,Linear,1,1,1,1
Raw,2nd Order,1,1,1,1
Optimal +1/-2,2nd Order,1,1,1,1
Hu Integrin (10D5) PE,Raw,Linear,687,450,531,300,0.66,0.65,0
Hu Integrin (10D5) PE,Optimal +1/-2,Linear,498,283,335,127,0.76,0.75,0
Hu Integrin (10D5) PE,Raw,2nd Order,517,378,431,296,0.76,0.75,0
Hu Integrin (10D5) PE,Optimal +1/-2,2nd Order,397,290,338,233,0.91,0.91,0
Hu Integrin (10D5) PE,Raw,Linear,335,196,186,50,0.65,0.64,0
Hu Integrin (10D5) PE,Optimal +1/-2,Linear,322,187,122,-9,0.65,0.64,0
Hu Integrin (10D5) PE,Raw,2nd Order,313,256,265,208,0.87,0.87,0
Hu Integrin (10D5) PE,Optimal +1/-2,2nd Order,307,253,249,196,0.9,0.89,0
Hu Integrin (10D5) PE,Raw,Linear,288,172,133,21,0.63,0.62,0
Hu Integrin (10D5) PE,Optimal +1/-2,Linear,477,374,311,211,0.74,0.74,0
Hu Integrin (10D5) PE,Raw,2nd Order,290,200,118,18,0.63,0.62,0.299
Hu Integrin (10D5) PE,Optimal +1/-2,2nd Order,475,373,267,145,0.74,0.73,0.953
Hu Integrin (10D5) PE,Raw,Linear,687,450,531,300,0.66,0.65,0
Hu Integrin (10D5) PE,Optimal +1/-2,Linear,498,283,335,127,0.76,0.75,0
Hu Integrin (10D5) PE,Raw,2nd Order,517,378,431,296,0.76,0.75,0
Hu Integrin (10D5) PE,Optimal +1/-2,2nd Order,397,290,338,233,0.91,0.91,0
