Concentrations Included,Model Order,"75% Threshold, No CI","80% Threshold, No CI","75% Threshold, Lwr 95% CI","80% Threshold, Lwr 95% CI",R-squared,Adj. R-squared,Model p-value
Raw,Linear,4263,3479,3917,3163,0.51,0.5,0
Optimal +1/-2,Linear,3676,2980,3404,2728,0.72,0.71,0
Raw,2nd Order,3248,2824,2734,2400,0.51,0.49,0.445
Optimal +1/-2,2nd Order,3263,2735,2699,2307,0.72,0.7,0.765
Raw,Linear,9067,7466,7782,6322,0.12,0.1,0.01
Optimal +1/-2,Linear,6896,5679,5903,4783,0.24,0.21,0.005
Raw,2nd Order,2936,2718,2629,2430,0.2,0.17,0.02
Optimal +1/-2,2nd Order,2734,2525,2445,2255,0.36,0.31,0.026
Raw,Linear,2573,2068,2457,1959,0.87,0.87,0
Optimal +1/-2,Linear,2366,1904,2244,1789,0.9,0.9,0
Raw,2nd Order,2821,2156,2460,1952,0.87,0.87,0.467
Optimal +1/-2,2nd Order,2546,1963,2203,1757,0.9,0.9,0.526
Raw,Linear,2355,1875,2132,1665,0.6,0.59,0
Optimal +1/-2,Linear,2120,1686,1848,1431,0.64,0.63,0
Raw,2nd Order,NA,2054,2152,1635,0.6,0.59,0.372
Optimal +1/-2,2nd Order,2560,1745,1787,1373,0.65,0.62,0.487
Raw,Linear,1497,1157,1378,1044,0.81,0.81,0
Optimal +1/-2,Linear,1370,1060,1217,914,0.82,0.81,0
Raw,2nd Order,1480,1010,1291,910,0.85,0.84,0.001
Optimal +1/-2,2nd Order,1276,915,1106,797,0.85,0.84,0.017
Raw,Linear,2198,1772,1941,1530,0.52,0.51,0
Optimal +1/-2,Linear,2511,2061,2154,1725,0.52,0.51,0
Raw,2nd Order,2302,1803,1828,1478,0.52,0.5,0.808
Optimal +1/-2,2nd Order,2280,1950,1878,1612,0.52,0.49,0.675
Raw,Linear,1516,1201,1402,1092,0.82,0.82,0
Optimal +1/-2,Linear,1495,1192,1380,1081,0.9,0.89,0
Raw,2nd Order,1519,1108,1353,1004,0.84,0.83,0.021
Optimal +1/-2,2nd Order,1492,1105,1327,998,0.91,0.91,0.026
Raw,Linear,2003,1625,1835,1465,0.71,0.7,0
Optimal +1/-2,Linear,2094,1697,1840,1456,0.66,0.65,0
Raw,2nd Order,1837,1592,1696,1464,0.73,0.72,0.05
Optimal +1/-2,2nd Order,1891,1642,1683,1453,0.68,0.66,0.176
Raw,Linear,1975,1532,1765,1334,0.61,0.6,0
Optimal +1/-2,Linear,1782,1352,1549,1132,0.68,0.67,0
Raw,2nd Order,2120,1540,1723,1302,0.61,0.59,0.566
Optimal +1/-2,2nd Order,1948,1291,1493,1057,0.7,0.68,0.314
Raw,Linear,2848,2316,2736,2212,0.88,0.88,0
Optimal +1/-2,Linear,3085,2528,2928,2381,0.9,0.9,0
Raw,2nd Order,2321,2030,2213,1937,0.91,0.9,0
Optimal +1/-2,2nd Order,2357,2095,2244,1995,0.95,0.94,0
Raw,Linear,3218,2602,2975,2375,0.59,0.58,0
Optimal +1/-2,Linear,2830,2282,2560,2030,0.75,0.74,0
Raw,2nd Order,2451,2152,2222,1952,0.61,0.6,0.089
Optimal +1/-2,2nd Order,2288,1996,2053,1790,0.77,0.75,0.147
Raw,Linear,7942,2411,-304,-2644,0,-0.02,0.868
Optimal +1/-2,Linear,-4508,-1466,-14417,-29626,0,-0.03,0.842
Raw,2nd Order,1893,NA,NA,NA,0.02,-0.02,0.375
Optimal +1/-2,2nd Order,1974,NA,NA,NA,0.03,-0.04,0.385
Raw,Linear,3118,2471,2842,2218,0.56,0.55,0
Optimal +1/-2,Linear,2769,2154,2520,1924,0.71,0.7,0
Raw,2nd Order,NA,NA,NA,2459,0.57,0.56,0.179
Optimal +1/-2,2nd Order,NA,NA,NA,NA,0.76,0.74,0.018
Raw,Linear,3183,2522,2639,2020,0.23,0.21,0
Optimal +1/-2,Linear,3283,2688,2669,2116,0.3,0.27,0.001
Raw,2nd Order,2258,1999,1939,1705,0.25,0.22,0.197
Optimal +1/-2,2nd Order,2251,2039,1907,1716,0.34,0.29,0.186
Raw,Linear,1622,1265,1569,1214,0.96,0.96,0
Optimal +1/-2,Linear,1595,1237,1525,1171,0.96,0.96,0
Raw,2nd Order,1656,1208,1578,1161,0.97,0.97,0
Optimal +1/-2,2nd Order,1628,1163,1524,1105,0.97,0.97,0
